Open,High,Low,Close,Adj Close,Volume
130.7100067138672,131.05499267578125,130.17999267578125,130.17999267578125,130.17999267578125,1190728
130.1768035888672,130.22000122070312,129.8800048828125,130.1999969482422,130.1999969482422,436396
130.2183074951172,130.70790100097656,130.2183074951172,130.52499389648438,130.52499389648438,533902
130.52999877929688,130.63999938964844,130.32000732421875,130.52000427246094,130.52000427246094,256744
130.50999450683594,130.63999938964844,130.439697265625,130.6199951171875,130.6199951171875,209897
130.62559509277344,130.72999572753906,130.5596923828125,130.69900512695312,130.69900512695312,183046
130.6999969482422,130.97059631347656,130.41000366210938,130.52999877929688,130.52999877929688,365022
130.52000427246094,130.5800018310547,130.32000732421875,130.33799743652344,130.33799743652344,285425
130.3300018310547,130.5800018310547,130.25,130.55999755859375,130.55999755859375,294355
130.57000732421875,130.59500122070312,130.2301025390625,130.52000427246094,130.52000427246094,245285
130.52000427246094,130.67999267578125,130.50999450683594,130.64999389648438,130.64999389648438,189298
130.6300048828125,130.89999389648438,130.51499938964844,130.8699951171875,130.8699951171875,209101
130.8699951171875,130.96969604492188,130.85150146484375,130.8800048828125,130.8800048828125,606170
130.8699951171875,130.93499755859375,130.8000030517578,130.91000366210938,130.91000366210938,200474
130.91000366210938,131.17999267578125,130.91000366210938,131.10000610351562,131.10000610351562,281897
131.11000061035156,131.27999877929688,131.0399932861328,131.27999877929688,131.27999877929688,182916
131.27999877929688,131.3798065185547,131.19000244140625,131.35499572753906,131.35499572753906,242719
131.35499572753906,131.5399932861328,131.35009765625,131.4300994873047,131.4300994873047,409439
131.43280029296875,131.51499938964844,131.27999877929688,131.47999572753906,131.47999572753906,202907
131.47999572753906,131.60499572753906,131.43499755859375,131.47000122070312,131.47000122070312,226145
131.47999572753906,131.6300048828125,131.39999389648438,131.47999572753906,131.47999572753906,230780
131.4813995361328,131.48500061035156,131.27000427246094,131.35499572753906,131.35499572753906,204126
131.35000610351562,131.41000366210938,131.16000366210938,131.19000244140625,131.19000244140625,240281
131.18499755859375,131.30999755859375,131.18499755859375,131.3000030517578,131.3000030517578,167234
131.3000030517578,131.31500244140625,131.14999389648438,131.25999450683594,131.25999450683594,291431
131.25,131.34500122070312,131.22000122070312,131.27000427246094,131.27000427246094,138192
131.27000427246094,131.38999938964844,131.23500061035156,131.29330444335938,131.29330444335938,139132
131.2949981689453,131.33999633789062,130.94000244140625,130.99569702148438,130.99569702148438,400763
131.0,131.19000244140625,130.94000244140625,131.16000366210938,131.16000366210938,244361
131.16700744628906,131.2050018310547,131.1199951171875,131.1199951171875,131.1199951171875,173552
131.1199951171875,131.1199951171875,130.88999938964844,130.94000244140625,130.94000244140625,167281
130.9499969482422,131.02000427246094,130.91220092773438,130.97999572753906,130.97999572753906,228827
130.97999572753906,131.05999755859375,130.93499755859375,130.9949951171875,130.9949951171875,163039
131.0050048828125,131.02999877929688,130.8699951171875,130.9600067138672,130.9600067138672,257661
130.97000122070312,131.1199951171875,130.9149932861328,131.02000427246094,131.02000427246094,152238
131.02499389648438,131.08999633789062,130.9499969482422,130.98500061035156,130.98500061035156,109784
131.0,131.0800018310547,130.9149932861328,131.03500366210938,131.03500366210938,203405
131.02999877929688,131.13999938964844,131.0,131.11000061035156,131.11000061035156,135397
131.11000061035156,131.13499450683594,131.03500366210938,131.10000610351562,131.10000610351562,120986
131.11000061035156,131.25999450683594,131.03500366210938,131.0399932861328,131.0399932861328,249265
131.0500030517578,131.19000244140625,131.0050048828125,131.0399932861328,131.0399932861328,127470
131.0399932861328,131.16000366210938,130.99000549316406,131.16000366210938,131.16000366210938,100015
131.14999389648438,131.2899932861328,131.11000061035156,131.25799560546875,131.25799560546875,169653
131.25999450683594,131.30999755859375,131.22999572753906,131.25999450683594,131.25999450683594,126897
131.27999877929688,131.42999267578125,131.22000122070312,131.40499877929688,131.40499877929688,186142
131.4149932861328,131.52000427246094,131.38999938964844,131.47999572753906,131.47999572753906,192964
131.47500610351562,131.52999877929688,131.32000732421875,131.5,131.5,178292
131.5063934326172,131.6199951171875,131.4822998046875,131.5850067138672,131.5850067138672,195523
131.58999633789062,131.77999877929688,131.58999633789062,131.6699981689453,131.6699981689453,235543
131.67990112304688,131.85000610351562,131.63999938964844,131.81500244140625,131.81500244140625,195640
131.80999755859375,131.80999755859375,131.5800018310547,131.6197052001953,131.6197052001953,174068
131.6199951171875,131.73789978027344,131.6199951171875,131.722900390625,131.722900390625,124074
131.72999572753906,131.7480010986328,131.61000061035156,131.6300048828125,131.6300048828125,148834
131.6300048828125,131.6999969482422,131.61000061035156,131.69000244140625,131.69000244140625,162770
131.67999267578125,131.77999877929688,131.6699981689453,131.74000549316406,131.74000549316406,158836
131.74000549316406,131.74000549316406,131.61000061035156,131.6699981689453,131.6699981689453,143403
131.6699981689453,131.6999969482422,131.50999450683594,131.50999450683594,131.50999450683594,192535
131.52000427246094,131.60000610351562,131.5050048828125,131.59500122070312,131.59500122070312,149711
131.58999633789062,131.6199951171875,131.5399932861328,131.60000610351562,131.60000610351562,132962
131.58999633789062,131.6699981689453,131.50999450683594,131.58999633789062,131.58999633789062,151892
131.60000610351562,131.91000366210938,131.60000610351562,131.8612060546875,131.8612060546875,274984
131.86500549316406,131.8800048828125,131.6699981689453,131.6999969482422,131.6999969482422,175162
131.69000244140625,131.69000244140625,131.49000549316406,131.5800018310547,131.5800018310547,115361
131.5800018310547,131.64999389648438,131.5,131.51499938964844,131.51499938964844,104363
131.52000427246094,131.56500244140625,131.39999389648438,131.48500061035156,131.48500061035156,124670
