AES,UNH,AAPL,PG,PLD,DLR,BAC,TMO,JNJ,DUK,NKE,CVS,SWK,SHW,MSFT,DISH,GIS,MA,CAG,BBY,price,price.1,price.1.1,price.1.1.1,price.1.1.1.1,price.1.1.1.1.1,price.1.1.1.1.1.1,price.1.1.1.1.1.1.1,price.1.1.1.1.1.1.1.1,price.1.1.1.1.1.1.1.1.1,price.1.1.1.1.1.1.1.1.1.1,price.1.1.1.1.1.1.1.1.1.1.1,price.1.1.1.1.1.1.1.1.1.1.1.1,price.1.1.1.1.1.1.1.1.1.1.1.1.1,price.1.1.1.1.1.1.1.1.1.1.1.1.1.1,price.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,price.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,price
11.48283257,167.3544658,33.57546226,90.33652772,49.87465559,107.9564365,23.79819578,159.0783754,122.2562032,80.21230967,56.28688508,80.31723501,125.845063,102.9533707,64.37154424,61.76360664,60.45328932,111.6579652,39.89763644,43.89412555,43.28777018592564,42.97561053929411,111.61856650922516,61.23510841324151,33.66342953316126,11.471600839363193,122.08670481541228,119.454990501481,123.64652600160296,121.89427442115084,147.83999633789062,121.21791706059228,121.84217922939386,120.2239777350278,123.72397764241576,123.6156133800432,122.31742366373145,190.58056152985648
11.45258813,167.8670231,33.62196937,90.36793113,49.75386718,107.6179193,23.83189072,159.1684308,122.7247467,80.22566893,56.28515568,80.28671103,126.0272699,102.9633608,64.404531,61.73296523,60.44592371,111.7193699,39.93111752,43.95971057,43.33687188605353,43.03973203543188,111.68279541293862,61.24461122548655,33.70159372251237,11.43631498818803,122.55563173582412,119.88095292761317,124.1225047794396,122.3415328087558,147.83999633789062,121.67983532025572,122.28069029002472,120.65660324849703,124.19089051778973,124.08678652762865,122.75813235527492,192.52418768811242
11.43593284,168.3811042,33.67284486,90.4170085,49.69082135,107.301347,23.85899978,159.1473851,123.2104772,80.26251276,56.30376673,80.21528566,126.4245365,102.984094,64.4329968,61.77233246,60.45729715,111.8132198,39.97529761,44.00823754,43.37868802367876,43.091982978706085,111.7768658838009,61.25968852208007,33.74881274294543,11.411525359068946,123.03912133577248,120.3236432666872,124.60391553933547,122.8036670518013,147.83999633789062,122.15983678858356,122.73032449483252,121.1048605592441,124.67463389821204,124.56934739903409,123.21663807750154,193.04524614464992
11.42963269,168.695424,33.73246921,90.44486541,49.66932421,106.9727786,23.86631798,159.020128,123.6639721,80.31113062,56.3424784,80.08157509,126.7179683,103.0237196,64.45645461,61.85664043,60.43790337,111.9402195,40.02522085,44.04324883,43.42485413351966,43.14000145883725,111.89721849859018,61.25713043236647,33.79561067889526,11.399600979369325,123.50414435655328,120.75971911468513,125.05391151630828,123.23605498355026,147.83999633789062,122.62634469511612,123.13962380303744,121.52028839591549,125.09357146484216,125.04618471081449,123.63661776395018,192.1028709877611
11.43399016,168.9287124,33.78781001,90.48400047,49.7085193,106.6818947,23.84534977,158.8190471,124.090955,80.35426769,56.40697541,79.88577523,127.0106189,103.0727162,64.48027838,61.98462528,60.42623062,112.0778669,40.0646951,44.09311755,43.49146682199705,43.20355677489784,112.0314350974603,61.21457354682025,33.84409901154757,11.393907099223725,123.9138486335996,121.14611878480537,125.45533283065195,123.6464882045111,147.83999633789062,123.04094099576648,123.52883665670925,121.90855092270613,125.50223362206997,125.47418278032272,124.03541488020164,190.86203001731008
11.43653553,168.9884854,33.84470792,90.53022402,49.76341806,106.4383517,23.74198662,158.5837387,124.4689907,80.39835219,56.48109983,79.65418793,127.2734263,103.0752598,64.50023884,62.10575438,60.36290037,112.1730952,40.07512325,44.10989998,43.53018072010502,43.235715803282005,112.1226200462271,61.11798812295365,33.88953069496546,11.390649658696644,124.25603110582414,121.48758311228448,125.7999937121858,124.007115657565,147.83999633789062,123.39886865654442,123.86700183802712,122.25002064976978,125.84778543505487,125.84639774182504,124.38968162265336,189.82226379827136
11.43857107,169.01116,33.89074851,90.57349252,49.81247878,106.2666729,23.5747474,158.3081031,124.7434354,80.46913403,56.29892778,79.41182109,127.434344,103.0669598,64.49877771,62.18476073,60.24957746,112.2251449,40.06636343,44.12146501,43.55470806835445,43.25401730721097,112.17681394953206,60.97296501314804,33.92661945272269,11.387529051654326,124.48867220624378,121.7451810925031,126.0472082913111,124.2736337514634,147.83999633789062,123.65547851279004,124.10877903550862,122.49376869561272,126.06890382204072,126.1332722694842,124.64724720536468,189.5223875682874
11.4381936,168.8434171,33.92889452,90.60076248,49.85102767,106.1714307,23.39379506,158.0047931,124.9163841,80.55041698,56.06851762,79.16719627,127.5759022,103.0476323,64.50561556,62.2214202,60.10774612,112.2542758,40.04232973,44.15084655,43.58502754561991,43.28046753119423,112.2071578793387,60.79752074504813,33.961136262808935,11.382795907754089,124.60848898745095,121.9010616989326,126.19009749730866,124.44588589825432,147.83999633789062,123.800122583767,124.26172766752642,122.64065899376328,126.18886639203082,126.31837542750873,124.81109219900826,189.73244920382308
11.43861326,168.4796688,33.9617694,90.60573926,49.90916298,106.0991569,23.21576203,157.6568587,125.0069945,80.64654913,55.87670131,78.93369639,127.7204853,103.0090692,64.53085092,62.2322145,59.96953445,112.2859002,40.00444344,44.19653835,43.62165405529237,43.314989560202434,112.23791840256888,60.63062760499452,33.99237527857244,11.379211674043177,124.63125363592188,121.96824872951218,126.245767214039,124.537727431898,147.83999633789062,123.8481464887718,124.34282942749633,122.70965488516777,126.23420670351332,126.40580550057346,124.90043912458894,190.09125552507078
11.43812329,168.0095668,33.98376274,90.58695884,49.94990393,106.0253916,23.0273985,157.2813381,125.0318812,80.76112702,55.72455604,78.72449815,127.8021349,102.9379422,64.55119386,62.22254446,59.8149641,112.2940176,39.95178034,44.26457397,43.68381421818162,43.3723083492996,112.24947274369856,60.46386540920412,34.00995176901657,11.375131223633048,124.58212281608392,121.96530055634685,126.24865599177429,124.5678517141132,147.83999633789062,123.82110536933575,124.37315889392448,122.72028126756594,126.230378398066,126.4174254065292,124.9327772364704,190.36925221825538
11.43827173,167.3519413,34.01902478,90.55242499,49.95349978,105.9542195,22.86648113,156.9464848,125.0173347,80.88051879,55.61876378,78.55131933,127.8884943,102.8791396,64.58090341,62.21265397,59.65859093,112.3183822,39.88881858,44.40343978,43.81361687633017,43.49543008253736,112.27381282710697,60.30583906640277,34.043677909677456,11.372782509233955,124.49651780259772,121.92547322069184,126.22057815210428,124.5574845117735,147.83999633789062,123.7558027937648,124.36967616188848,122.69656629221387,126.1983696608422,126.38145337424427,124.93028262840744,190.06941215279505
11.43789717,166.6752125,34.07275394,90.51628319,49.9504025,105.9233154,22.74485985,156.654479,124.9553745,80.99506491,55.554818,78.42020698,128.0159311,102.8277835,64.62576078,62.22376424,59.52885088,112.3514585,39.82937801,44.61701572,44.01557224159816,43.68799326810984,112.3103443945281,60.18020038413442,34.102823617955835,11.371821103330433,124.36056706274938,121.8431187571059,126.15300775102148,124.5040556226322,147.83999633789062,123.6432430541954,124.3261987070764,122.63262441195,126.13071826599116,126.29386131364298,124.88723174077494,188.71738335442728
11.42917018,166.1711217,34.13512292,90.46991347,49.96977444,105.9541172,22.65925667,156.4062785,124.852156,81.08808485,55.50909616,78.33591937,128.1871794,102.7877563,64.69292852,62.23333141,59.42972608,112.4035327,39.77744415,44.90444291,44.28886629659161,43.94923943836648,112.36686631990584,60.08767657071803,34.176440697287575,11.366123874894017,124.18914645197944,121.72815080282632,126.05388757740182,124.41133935629112,147.83999633789062,123.49659033776514,124.24488636330896,122.53377961714249,126.02653328206178,126.16864494788386,124.8047422875752,186.4650025756349
11.40562478,165.726419,34.19837647,90.40005417,50.01681579,106.045762,22.60464333,156.1817071,124.7082571,81.15875554,55.46743904,78.26897387,128.375306,102.7533766,64.78014751,62.2708947,59.34255461,112.4734346,39.73300808,45.24502053,44.61678284159765,44.2619930399469,112.43980692727064,60.01716542326494,34.25136344145582,11.354885225153907,123.99062532634342,121.58347433434209,125.9259984172895,124.28146854864823,147.83999633789062,123.32053148386512,124.12757498933388,122.40062586209204,125.88470779422094,126.01426002637524,124.68230130827575,183.86593059101267
11.3881342,165.3742004,34.26107262,90.31055312,50.11052526,106.1972361,22.56768866,155.9863224,124.5625871,81.21475964,55.41585574,78.20422964,128.5944934,102.7126549,64.87570951,62.34653563,59.25550006,112.5467612,39.69632578,45.59179407,44.9570613410437,44.584083271479415,112.51458544679816,59.9552147570198,34.32378391380283,11.34374568482201,123.80051135385472,121.43535293091372,125.79166755280674,124.14525322915686,147.83999633789062,123.14823074081322,124.00524740131004,122.26630579677838,125.74876785354172,125.85294743788651,124.55317564330106,181.035550313219
11.37899783,165.1424514,34.32414441,90.21571323,50.25148499,106.3825293,22.53558291,155.7568866,124.41628,81.2648992,55.3322175,78.13145876,128.7760187,102.6696992,64.96527291,62.43896688,59.1567143,112.6082516,39.66290273,45.91438425,45.27632708177606,44.8842698118749,112.58144869127818,59.88387819305035,34.394713928842265,11.337120979829024,123.62152592512756,121.29090324498064,125.65969090718862,124.0072938438552,147.83999633789062,122.98357580948684,123.88077077863451,122.13351921347748,125.61465297244102,125.69393507241692,124.41978970611488,177.82851652176362
11.36633995,164.9708139,34.38968818,90.12571968,50.43519389,106.5990824,22.50861334,155.4664561,124.2828886,81.31936571,55.23364581,78.02558115,128.9096968,102.6299314,65.06677021,62.54073385,59.04939846,112.65937,39.63304851,46.22784718,45.57695374706174,45.169705758863245,112.6380073748992,59.799994362716006,34.46199959400161,11.33039984406048,123.46749197661482,121.16105403567596,125.53928017168072,123.87924809579089,147.83999633789062,122.83962288533256,123.765079280025,122.01362683808657,125.49516016630696,125.54929100143998,124.29412517483796,174.10771142528324
11.35722256,164.885811,34.44999717,90.02613015,50.64294571,106.8722573,22.4805345,155.1437009,124.1753289,81.37817504,55.13905049,77.88006516,128.9864913,102.6074662,65.15386264,62.63034712,58.91389921,112.7056732,39.61242438,46.49257589,45.8275194108812,45.407251417436015,112.69089023419474,59.68843686532455,34.52159668061094,11.324307517307544,123.34459743221304,121.05218761194008,125.44204445306968,123.77456635008274,147.83999633789062,122.723148446963,123.6724872041286,121.91908011258236,125.40930677193136,125.42629926451626,124.19101470823442,170.60754608750187
11.34735001,164.8631518,34.49886115,89.91847837,50.87182423,107.2042281,22.44874425,154.8248902,124.0955339,81.435984,55.05341355,77.71461399,129.0678499,102.623104,65.23448869,62.70674123,58.76987923,112.7458622,39.59987549,46.7070385,46.02970765776584,45.5985348223812,112.73866369767792,59.55865005586065,34.56792506192119,11.316438810666,123.24993731543326,120.96845085470883,125.36914466203416,123.6949980721256,147.83999633789062,122.635275607965,123.60307014512908,121.8518336865727,125.35531092641212,125.32668232911782,124.11403283127764,167.8383200191755
11.33456489,164.8817933,34.53821891,89.80891953,51.13864444,107.5877366,22.41880057,154.5748624,124.0199019,81.48597802,54.97350762,77.56613892,129.1419105,102.6658003,65.29763902,62.79375696,58.61771498,112.7850281,39.59545242,46.9040243,46.21227188952236,45.77275377345285,112.78608795785016,59.41885068684133,34.601935964750595,11.307864284320033,123.16100075827852,120.89629620634147,125.30036475401174,123.6203650144489,147.83999633789062,122.55695463403934,123.53375027865148,121.78954407918172,125.29877187656892,125.23870689801332,124.04064167804788,165.63450819562536
11.32653257,164.9201693,34.56558638,89.71874157,51.43496403,108.0143647,22.3771863,154.391412,123.9372396,81.52364753,54.90481965,77.45983858,129.2167139,102.7148805,65.34370436,62.88088659,58.46015863,112.8101278,39.59582002,47.0929682,46.38286942462861,45.93793520857545,112.82061007464006,59.27287589283696,34.61359303735125,11.303964418394685,123.06501774328352,120.81942232107576,125.22580729051876,123.5415202808217,147.83999633789062,122.47244033663264,123.45822628952372,121.72128793086084,125.23379867565562,125.15107704032016,123.96085201712413,164.22228354766662
11.32736652,165.0053261,34.5735476,89.65759445,51.75698102,108.462806,22.32959226,154.260349,123.8764403,81.55577009,54.83769699,77.39184142,129.2677698,102.7840748,65.36720619,62.9681889,58.29914395,112.8047183,39.59976834,47.26829815,46.53726139035578,46.0894642259878,112.82390606378522,59.125208176572414,34.603941417469315,11.307398425457563,123.00688041641295,120.76461653787372,125.18064516532648,123.48222204327249,147.83999633789062,122.41690020993154,123.40388487059316,121.67305884164304,125.19155232612135,125.09442999878593,123.89763908077474,163.571828425562
11.34081147,165.1284433,34.56459274,89.61975924,52.0825131,108.9130801,22.26637543,154.1489959,123.8384758,81.59152093,54.8018382,77.36056994,129.2957215,102.8287039,65.36576157,63.0377934,58.15304757,112.7639595,39.60388185,47.40499325,46.65802439602669,46.207889869377794,112.79197540314476,58.98245087017858,34.57854608493,11.318348229309777,122.97756607188056,120.73349333251645,125.15046688726578,123.44282667438164,147.83999633789062,122.38734828367886,123.36742147611402,121.64455443479343,125.16996478708278,125.0604234152779,123.85510655325923,164.77771638391948
11.3667942,165.1790263,34.54576814,89.61101108,52.39870598,109.3842852,22.20094006,154.1036531,123.8286216,81.63436954,54.79545919,77.37927302,129.2208186,102.8611675,65.34909209,62.99901401,58.02054834,112.7430073,39.6068896,47.51819081,46.75950095808719,46.3069927481713,112.77944084219496,58.85067183728143,34.54713439423452,11.33775313713545,122.9840293745892,120.72809914754906,125.1506666718942,123.43077480166174,147.83999633789062,122.38767765833651,123.3581449898538,121.64182224501018,125.17774018883756,125.05727545748412,123.83658597824612,169.37972434555957
11.39489194,165.2939849,34.51847944,89.63509212,52.69309812,109.8633771,22.1354748,154.1009941,123.7076061,81.68308003,54.83059003,77.41848352,129.1024718,102.8843605,65.33129168,62.75695053,57.9222396,112.7477001,39.61718975,47.60842068,46.842857621149136,46.38759115281948,112.78962287557648,58.75003883270711,34.51037886880215,11.361225995085531,122.8929113852755,120.66311514746666,125.03790714769636,123.32000772416356,147.83999633789062,122.30294737754774,123.23409493435793,121.53353357682134,125.01696215921946,124.99111974755397,123.7124495293974,175.13192689915877
11.42243119,165.5323994,34.48803413,89.64866413,52.933675,110.3824982,22.08124672,154.1720453,123.5107696,81.72540199,54.88715114,77.46007572,128.9922195,102.9175939,65.31390951,62.39500344,57.86836305,112.7653073,39.63326579,47.69378355,46.92850464286295,46.46810409632394,112.81171457977246,58.68231025084742,34.472669087166764,11.385429673311478,122.6992822832435,120.50051205827002,124.81232870387063,123.13554711670076,147.83999633789062,122.115376609383,123.03824120349051,121.3449314880072,124.77992579697457,124.828640848802,123.51070485178388,181.3255355459887
11.44766793,165.9454684,34.46364152,89.64352993,53.13241908,110.9299887,22.04340032,154.3070276,123.2756177,81.74925177,54.96035406,77.53429006,128.8939826,103.1015486,65.29808753,62.02404395,57.83259188,112.8434553,39.65059196,47.81037818,47.0521583717204,46.582348553257134,112.88690969272352,58.63372525261229,34.44312955626006,11.409176644669856,122.45389276369676,120.28330837008431,124.53989266530331,122.9079060315762,147.83999633789062,121.87101301090114,122.80835929077692,121.11563813000974,124.50605346891642,124.60455269031262,123.27036934337774,192.28863006341385
11.4709881,166.5185221,34.44645279,89.59827341,53.28765639,111.4766798,22.0077326,154.4635848,123.019456,81.75725991,55.03975506,77.63969339,128.8669805,103.4028408,65.30237735,61.66988213,57.81240308,112.9847295,39.66959389,47.97513018,47.221426986041706,46.74098366477031,113.01554516499284,58.59846850974054,34.42640735232149,11.430782495659855,122.18163491141966,120.03738429166695,124.24819090905474,122.6565715694378,147.83999633789062,121.5962659501456,122.56255940280424,120.86444945665424,124.21766165799816,124.34211668233546,123.01291175235744,207.43670133817852
11.49567862,167.2040406,34.44452004,89.54858209,53.41154207,111.9618259,21.99327887,154.6858248,122.7959078,81.76318795,55.08881789,77.78945211,129.0127353,103.7966039,65.38692175,61.36324021,57.8124405,113.2121895,39.69685559,48.19740179,47.440322886524825,46.949021726943016,113.22599223399902,58.58459543271056,34.432738766493884,11.455204705666516,121.94810287954896,119.81276157430692,123.99720202032766,122.4319542516623,147.83999633789062,121.35209133712304,122.35117646676552,120.64236994361816,123.9787894370056,124.09562024795558,122.7862803895441,221.75087294469847
11.52874969,167.9518566,34.46007896,89.51322066,53.51648477,112.4041351,22.01550082,155.0150197,122.6310153,81.76894927,55.1165304,78.02991152,129.2949863,104.2617368,65.54081319,61.13625862,57.83334014,113.5103663,39.68504784,48.47069371,47.70925201360245,47.203638248975096,113.5052078497606,58.59147000652956,34.460881751020935,11.484448454451012,121.78048897588812,119.64012065742826,123.8143396898922,122.26205632373602,147.83999633789062,121.17007134187767,122.19764467961612,120.4765703003668,123.81656971831217,123.89573302742792,122.61858009253044,233.53826544934316
11.55879547,168.7639866,34.48707078,89.44079763,53.60520294,112.7555452,22.06847018,155.5850177,122.5234988,81.77421569,55.1108625,78.33048063,129.6258428,104.7534764,65.73851912,61.03969041,57.86594993,113.8424586,39.62154585,48.78482324,48.01175455099292,47.49258664897059,113.82123071976775,58.610774932192726,34.499724522560854,11.511849080749926,121.67566684098163,119.52473153555364,123.6987237854664,122.14899982238784,147.83999633789062,121.052959752531,122.09889707733052,120.3678280670756,123.72311370888744,123.75109975562007,122.50957867918076,242.27329983012066
11.56166294,169.5989452,34.51667999,89.31423724,53.67484442,113.0652689,22.13637484,156.3529459,122.4609392,81.78507406,55.09630776,78.69365455,129.9704377,105.2820723,65.96196948,61.09123706,57.88862901,114.2100104,39.51924824,49.11615182,48.3274565620319,47.79621727345824,114.16920875591086,58.62555526590359,34.540966566839785,11.524196684408937,121.61813426758088,119.45434255133476,123.64158538173795,122.0849175529256,147.83999633789062,120.98666365340247,122.04641311548583,120.3066615732714,123.68643433102623,123.65692020186542,122.44961629273163,248.0286125327525
11.55918141,170.4410156,34.54996687,89.1429893,53.72606376,113.3684267,22.20098158,157.2197007,122.4321918,81.79479181,55.08515711,79.08438305,130.2998697,105.8369987,66.21108171,61.28579166,57.88089862,114.5721465,39.39114294,49.43674648,48.63006592585202,48.08888323320582,114.511513769845,58.62240091213425,34.58139673599996,11.52775636398718,121.59438149513696,119.42115670467864,123.62368035936376,122.0565481356898,147.83999633789062,120.96056206167847,122.02465278974158,120.28149950925943,123.68635333725796,123.60379368945904,122.4265060708494,250.57388978846723
11.55430519,171.2037633,34.60455638,88.94217079,53.7671668,113.6950599,22.2626989,158.1729444,122.4150805,81.79464361,55.07052242,79.46244521,130.6106775,106.3496305,66.47424386,61.50684336,57.84468318,114.9096484,39.24241055,49.72542995,48.89789260417558,48.349774739716,114.83067334327654,58.59080827034222,34.64100896953315,11.52619405149153,121.58201104692851,119.40501194686838,123.6248898663034,122.04435587377156,147.83999633789062,120.95108039120532,122.01476075084246,120.27135368988635,123.6971741047,123.57550526599152,122.41800712476469,250.2346303922444
11.55040644,171.7570671,34.68825223,88.70057779,53.80870436,113.9885907,22.32195523,159.1746185,122.414924,81.7892925,55.03711257,79.72990759,130.9157571,106.8232976,66.76389337,61.73574279,57.74913596,115.2665832,39.06972631,49.954547,49.11051992976638,48.55695819045144,115.15553044441252,58.50937496836241,34.72647700209092,11.522256907928409,121.59008342583364,119.40734456739482,123.6464882045111,122.0495610732796,147.83999633789062,120.96238172167249,122.02040871628375,120.27918308748666,123.7243772116726,123.57357761430649,122.42578252651946,247.81715856305686
11.53980843,172.193134,34.77640126,88.43707392,53.8270875,114.2071715,22.37561871,160.1975902,122.4242544,81.77434802,54.9750098,79.86829908,131.2302177,107.2631123,67.04439641,61.93220789,57.5978018,115.6126805,38.87831101,50.13737403,49.27960907568587,48.722722897879976,115.47524139149289,58.37139946586649,34.80793715859602,11.512589276240078,121.60144415173087,119.4176901713963,123.67225502199288,122.06409675489338,147.83999633789062,120.97991957229712,122.03346491173032,120.29708271027629,123.76085140532084,123.58129362063116,122.44436789654718,243.4068225766839
